dataset,budget_level,budget_seconds,best_method,best_score
adult,very_low,60,random_search,0.7813932588640022
adult,low,120,random_search,0.782070608814669
adult,medium,300,random_search,0.7839649405703312
adult,high,600,random_search,0.7850038895083549
fashion_mnist,very_low,60,random_search,0.8836242342627327
fashion_mnist,low,120,random_search,0.8851164468392513
fashion_mnist,medium,300,sha,0.8860266707910274
fashion_mnist,high,600,hyperband,0.8879736953162544
mnist,very_low,60,random_search,0.9675769981079293
mnist,low,120,random_search,0.9682952721186722
mnist,medium,300,sha,0.9701856492111268
mnist,high,600,hyperband,0.9718034874314616
letter,very_low,60,random_search,0.9551357468952736
letter,low,120,hyperband,0.9583002043794803
letter,medium,300,hyperband,0.9598977742705838
letter,high,600,hyperband,0.9598977742705838
covertype,very_low,60,hyperband,0.36934447065317527
covertype,low,120,hyperband,0.4426045796932196
covertype,medium,300,sha,0.5729772291710109
covertype,high,600,hyperband,0.6199615811965546
bank,very_low,60,sha,0.7335462063319381
bank,low,120,hyperband,0.7351950601105515
bank,medium,300,hyperband,0.7409056347640266
bank,high,600,hyperband,0.7409056347640266
shuttle,very_low,60,random_search,0.875149577831238
shuttle,low,120,random_search,0.888045101629349
shuttle,medium,300,random_search,0.8956297487941972
shuttle,high,600,random_search,0.9105935074612654
creditcard,very_low,60,hyperband,0.923878314912437
creditcard,low,120,hyperband,0.926689573899947
creditcard,medium,300,hyperband,0.9281260055223172
creditcard,high,600,hyperband,0.9281260055223172
pendigits,very_low,60,random_search,0.9940896186799177
pendigits,low,120,random_search,0.9942480858614282
pendigits,medium,300,random_search,0.9944031560597069
pendigits,high,600,random_search,0.9943535671978058
satimage,very_low,60,random_search,0.8973037351623325
satimage,low,120,random_search,0.8993816377315798
satimage,medium,300,random_search,0.9003970766083802
satimage,high,600,random_search,0.9014110950568173
