,,,best_score,best_score,best_score,best_score,configs_evaluated,configs_evaluated,time_used,time_used,budget_utilization,budget_utilization
,,,mean,std,min,max,mean,std,mean,std,mean,std
dataset,budget_level,method,,,,,,,,,,
adult,high,hyperband,0.7837,0.0015,0.782,0.7863,206.0,0.0,450.6047,38.3437,75.1008,6.3906
adult,high,random_search,0.785,0.0016,0.7825,0.7869,71.6,3.5024,576.0029,7.9714,96.0005,1.3286
adult,high,sha,0.7813,0.0016,0.778,0.783,40.0,0.0,97.9545,18.1027,16.3257,3.0171
adult,low,hyperband,0.7818,0.0012,0.7801,0.7841,121.3,5.3759,124.4401,3.9395,103.7001,3.2829
adult,low,random_search,0.7821,0.0024,0.7781,0.7865,14.7,1.9465,120.3654,4.0911,100.3045,3.4093
adult,low,sha,0.7813,0.0016,0.778,0.783,40.0,0.0,97.9048,18.0421,81.5873,15.0351
adult,medium,hyperband,0.7833,0.0013,0.7817,0.7853,187.9,4.8637,305.9852,4.9275,101.9951,1.6425
adult,medium,random_search,0.784,0.002,0.7813,0.7867,35.2,3.2931,292.2213,9.514,97.4071,3.1713
adult,medium,sha,0.7813,0.0016,0.778,0.783,40.0,0.0,97.9118,18.0778,32.6373,6.0259
adult,very_low,hyperband,0.7805,0.0022,0.7762,0.7828,98.3,4.1647,60.5237,0.85,100.8728,1.4166
adult,very_low,random_search,0.7814,0.0025,0.7781,0.7865,7.8,1.9889,61.7824,4.3414,102.9707,7.2357
adult,very_low,sha,0.7809,0.0015,0.778,0.783,36.3,1.3375,64.4848,3.9875,107.4747,6.6458
fashion_mnist,high,hyperband,0.888,0.0013,0.8858,0.8899,128.9,9.8144,619.3322,27.5071,103.222,4.5845
fashion_mnist,high,random_search,0.8873,0.0013,0.8859,0.8899,17.4,1.5055,586.9373,15.8257,97.8229,2.6376
fashion_mnist,high,sha,0.8865,0.002,0.8844,0.8899,40.0,0.0,422.9576,97.8948,70.4929,16.3158
fashion_mnist,low,hyperband,0.8586,0.0018,0.8559,0.8608,70.8,2.6583,121.0731,1.081,100.8943,0.9009
fashion_mnist,low,random_search,0.8851,0.0017,0.8816,0.8875,3.9,1.3703,135.2038,17.9538,112.6698,14.9615
fashion_mnist,low,sha,0.8802,0.0022,0.8764,0.8837,28.8,0.7888,129.0697,8.3441,107.5581,6.9534
fashion_mnist,medium,hyperband,0.8849,0.0015,0.8832,0.8887,111.8,1.9889,315.6248,9.849,105.2083,3.283
fashion_mnist,medium,random_search,0.8858,0.0011,0.8846,0.8875,9.7,1.0593,314.8319,26.9368,104.944,8.9789
fashion_mnist,medium,sha,0.886,0.0019,0.8837,0.8899,38.5,1.0801,333.8924,27.8604,111.2975,9.2868
fashion_mnist,very_low,hyperband,0.8582,0.0024,0.8544,0.8608,34.9,1.5239,61.0193,0.4139,101.6989,0.6899
fashion_mnist,very_low,random_search,0.8836,0.0022,0.8807,0.8875,2.7,1.0593,84.4058,23.1016,140.6763,38.5027
fashion_mnist,very_low,sha,0.8718,0.0024,0.8688,0.8755,15.4,1.2649,62.7869,2.8602,104.6448,4.767
letter,high,hyperband,0.9599,0.0022,0.9566,0.9637,206.0,0.0,264.2558,24.0895,44.0426,4.0149
letter,high,random_search,0.9595,0.0023,0.9564,0.9637,57.5,6.7206,580.0758,7.109,96.6793,1.1848
letter,high,sha,0.9543,0.0045,0.9483,0.9637,40.0,0.0,55.9628,13.6732,9.3271,2.2789
letter,low,hyperband,0.9583,0.0037,0.9506,0.9637,170.2,7.5395,123.1093,2.5118,102.591,2.0932
letter,low,random_search,0.956,0.0029,0.9516,0.9602,12.1,2.4244,120.3489,4.0594,100.2907,3.3828
letter,low,sha,0.9543,0.0045,0.9483,0.9637,40.0,0.0,55.9834,13.6136,46.6528,11.3447
letter,medium,hyperband,0.9599,0.0022,0.9566,0.9637,205.9,0.3162,263.945,23.2889,87.9817,7.763
letter,medium,random_search,0.9569,0.0034,0.9516,0.9637,28.9,4.6774,291.7718,5.1333,97.2573,1.7111
letter,medium,sha,0.9543,0.0045,0.9483,0.9637,40.0,0.0,55.9435,13.6401,18.6478,4.5467
letter,very_low,hyperband,0.9544,0.0038,0.9492,0.9612,121.3,4.2701,61.4743,1.4581,102.4572,2.4302
letter,very_low,random_search,0.9551,0.0043,0.9453,0.9602,7.3,2.4518,64.2147,5.2476,107.0245,8.7459
letter,very_low,sha,0.9543,0.0045,0.9483,0.9637,40.0,0.0,55.9705,13.6704,93.2841,22.784
mnist,high,hyperband,0.9718,0.001,0.9705,0.9735,137.8,14.5739,606.0564,7.4844,101.0094,1.2474
mnist,high,random_search,0.9709,0.001,0.9697,0.973,14.1,2.331,617.538,25.6571,102.923,4.2762
mnist,high,sha,0.9714,0.0012,0.9693,0.9732,40.0,0.0,388.6322,84.1475,64.772,14.0246
mnist,low,hyperband,0.9495,0.002,0.9457,0.9526,70.7,2.6687,121.174,1.1449,100.9784,0.9541
mnist,low,random_search,0.9683,0.0025,0.9653,0.973,3.7,1.1595,158.1456,41.3136,131.788,34.428
mnist,low,sha,0.9626,0.0014,0.9603,0.9652,28.7,0.8233,128.3527,8.4835,106.9606,7.0696
