dataset,seed,f1_macro
adult,0,0.793289397242164
adult,1,0.7878003758177382
adult,2,0.7862015352252599
adult,3,0.7864371697551538
adult,4,0.7801988710259287
adult,5,0.776934042092998
adult,6,0.7661089568444792
adult,7,0.7726353458241006
adult,8,0.779533662348731
adult,9,0.7715418864081509
adult,10,0.7836897879831386
adult,11,0.7783940707255143
adult,12,0.7753774813821346
adult,13,0.787520669074482
adult,14,0.7721877680340153
adult,15,0.782100023315189
adult,16,0.7841819486881574
adult,17,0.7788696668932997
adult,18,0.7792739334603668
adult,19,0.7904013952381737
