dataset,seed,f1_macro
covertype,0,0.8157389653748908
covertype,1,0.8187958250558093
covertype,2,0.8109803343939903
covertype,3,0.8140348555130899
covertype,4,0.8105787166245999
covertype,5,0.7975848813084594
covertype,6,0.8152600795505901
covertype,7,0.7944776402078741
covertype,8,0.8151863311810541
covertype,9,0.8259797022724731
covertype,10,0.8109846897598705
covertype,11,0.792746489760119
covertype,12,0.8016
covertype,13,0.8083998083998083
covertype,14,0.8117936687390164
covertype,15,0.8076991519532601
covertype,16,0.8041559350853942
covertype,17,0.8008317422653397
covertype,18,0.8110999074389547
covertype,19,0.8177285422977224
