dataset,seed,f1_macro
credit-g,0,0.6405939657618462
credit-g,1,0.7381818181818182
credit-g,2,0.6695657595311575
credit-g,3,0.7023809523809523
credit-g,4,0.6484844747309673
credit-g,5,0.6683636363636364
credit-g,6,0.69558599695586
credit-g,7,0.7055576002944424
credit-g,8,0.6577066344508204
credit-g,9,0.7055576002944424
credit-g,10,0.6527777777777778
credit-g,11,0.6279761904761905
credit-g,12,0.7207382224380767
credit-g,13,0.6843127731908694
credit-g,14,0.6739811912225705
credit-g,15,0.6910369179356222
credit-g,16,0.7281870073389508
credit-g,17,0.7817887091243493
credit-g,18,0.6575342465753424
credit-g,19,0.7011434511434511
