dataset,seed,f1_macro,training_time
letter,0,0.9457209620674748,2.463425874710083
letter,1,0.9451349029291456,2.2769579887390137
letter,2,0.9423895814232927,1.7731211185455322
letter,3,0.9406879499272036,1.8289361000061035
letter,4,0.9421754929464008,1.910261869430542
letter,5,0.9386605587089923,1.8461112976074219
letter,6,0.9390513141304351,1.5966877937316895
letter,7,0.9278105219057546,1.3608901500701904
letter,8,0.93868754510286,1.8528680801391602
letter,9,0.9409271647152869,1.7465579509735107
