budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
very_low,60,random_search,1,0,0.8778708445604355,4,58.33893394470215
very_low,60,random_search,2,1,0.8699461195700193,1,71.36481094360352
very_low,60,random_search,3,2,0.8727223106445635,4,76.42308497428894
very_low,60,random_search,4,3,0.8490251758250359,5,69.16731715202332
very_low,60,random_search,5,4,0.8747451287345535,4,63.14169692993164
very_low,60,random_search,6,5,0.884622319942617,2,74.20346999168396
very_low,60,random_search,7,6,0.8692506121850148,5,57.058319091796875
very_low,60,random_search,8,7,0.8606145601575994,5,71.84645080566406
very_low,60,random_search,9,8,0.8607581026361726,6,61.23503398895264
very_low,60,random_search,10,9,0.8811938954928967,5,66.10899710655212
very_low,60,sha,1,0,0.8545512261336131,37,68.16848611831665
very_low,60,sha,2,1,0.8551283088310534,37,61.443480014801025
very_low,60,sha,3,2,0.8594060390408841,38,71.67338013648987
very_low,60,sha,4,3,0.8577287698795247,38,61.400652170181274
very_low,60,sha,5,4,0.8453856237929248,37,62.84661912918091
very_low,60,sha,6,5,0.8600889457510806,37,74.71095681190491
very_low,60,sha,7,6,0.8566059028622542,38,62.36663818359375
very_low,60,sha,8,7,0.8570629255186345,37,65.51118898391724
very_low,60,sha,9,8,0.8424917579336547,35,58.2196729183197
very_low,60,sha,10,9,0.8481308813575074,37,63.25255012512207
very_low,60,hyperband,1,0,0.8764652750779298,26,63.417070150375366
very_low,60,hyperband,2,1,0.8700452309853445,29,61.466957807540894
very_low,60,hyperband,3,2,0.8580133342531674,26,58.52738094329834
very_low,60,hyperband,4,3,0.8675170292970756,27,86.58902382850647
very_low,60,hyperband,5,4,0.8242358029391212,22,60.04317498207092
very_low,60,hyperband,6,5,0.8688231388177489,9,72.59164905548096
very_low,60,hyperband,7,6,0.8732129632479406,27,72.76474690437317
very_low,60,hyperband,8,7,0.8357381812682693,23,57.22508406639099
very_low,60,hyperband,9,8,0.8607581026361726,26,72.28710174560547
very_low,60,hyperband,10,9,0.851293546220476,27,61.85445785522461
low,120,random_search,1,0,0.8778708445604355,6,117.96629691123962
low,120,random_search,2,1,0.8699461195700193,5,141.82634902000427
low,120,random_search,3,2,0.8781177123453059,6,121.5100679397583
low,120,random_search,4,3,0.8675170292970756,8,130.30465412139893
low,120,random_search,5,4,0.8747451287345535,6,117.71177005767822
low,120,random_search,6,5,0.884622319942617,4,131.12321734428406
low,120,random_search,7,6,0.8732129632479406,9,126.64614009857178
low,120,random_search,8,7,0.8734209764194736,11,143.24672508239746
low,120,random_search,9,8,0.8689602719891072,11,152.09996223449707
low,120,random_search,10,9,0.8811938954928967,10,115.62099719047546
low,120,sha,1,0,0.881875726343781,40,130.19793796539307
low,120,sha,2,1,0.8700452309853445,40,84.26589584350586
low,120,sha,3,2,0.8727223106445635,40,95.88392114639282
low,120,sha,4,3,0.8663784038029205,40,90.86688280105591
low,120,sha,5,4,0.8647453916700513,40,93.87875413894653
low,120,sha,6,5,0.8653261289690156,40,114.09459400177002
low,120,sha,7,6,0.8732129632479406,40,89.58553791046143
low,120,sha,8,7,0.8734209764194736,40,122.53374481201172
low,120,sha,9,8,0.8777487390737848,40,128.64669489860535
low,120,sha,10,9,0.8811938954928967,40,95.51350212097168
low,120,hyperband,1,0,0.881875726343781,32,114.42219114303589
low,120,hyperband,2,1,0.8700452309853445,49,114.9806911945343
low,120,hyperband,3,2,0.8613402941435178,42,114.62440180778503
low,120,hyperband,4,3,0.8675170292970756,37,114.45317602157593
low,120,hyperband,5,4,0.8516455790654002,35,115.59709906578064
low,120,hyperband,6,5,0.8688231388177489,27,126.70473504066467
low,120,hyperband,7,6,0.8732129632479406,39,115.24122595787048
low,120,hyperband,8,7,0.8734209764194736,29,115.72994899749756
low,120,hyperband,9,8,0.8607581026361726,33,117.4402289390564
low,120,hyperband,10,9,0.851293546220476,52,115.45456004142761
medium,300,random_search,1,0,0.881875726343781,19,327.6353039741516
medium,300,random_search,2,1,0.8700452309853445,14,287.4463880062103
medium,300,random_search,3,2,0.8781177123453059,15,289.19755697250366
medium,300,random_search,4,3,0.8746480564244766,20,315.8056261539459
medium,300,random_search,5,4,0.8747451287345535,17,297.42731285095215
medium,300,random_search,6,5,0.884622319942617,18,319.67162013053894
medium,300,random_search,7,6,0.8732129632479406,16,289.41198801994324
medium,300,random_search,8,7,0.8734209764194736,21,285.3977539539337
medium,300,random_search,9,8,0.8752212400207829,19,286.3800368309021
medium,300,random_search,10,9,0.8811938954928967,18,290.40550327301025
medium,300,sha,1,0,0.881875726343781,40,129.36776328086853
medium,300,sha,2,1,0.8700452309853445,40,83.73420000076294
medium,300,sha,3,2,0.8727223106445635,40,95.72201323509216
medium,300,sha,4,3,0.8663784038029205,40,90.86681699752808
medium,300,sha,5,4,0.8647453916700513,40,93.82784104347229
medium,300,sha,6,5,0.8653261289690156,40,114.11935806274414
medium,300,sha,7,6,0.8732129632479406,40,89.32027077674866
medium,300,sha,8,7,0.8734209764194736,40,122.50295281410217
medium,300,sha,9,8,0.8777487390737848,40,128.76967597007751
medium,300,sha,10,9,0.8811938954928967,40,95.53011202812195
medium,300,hyperband,1,0,0.881875726343781,70,294.4213721752167
medium,300,hyperband,2,1,0.8700452309853445,70,287.8938219547272
medium,300,hyperband,3,2,0.8691318293164709,69,291.8076901435852
medium,300,hyperband,4,3,0.8675170292970756,67,290.84379291534424
medium,300,hyperband,5,4,0.8808061195825821,66,293.3398883342743
medium,300,hyperband,6,5,0.8688231388177489,64,319.18004322052
medium,300,hyperband,7,6,0.8732129632479406,67,285.63144612312317
medium,300,hyperband,8,7,0.8734209764194736,63,299.7847230434418
medium,300,hyperband,9,8,0.8734797490997132,64,299.6944160461426
medium,300,hyperband,10,9,0.8709032143332451,74,289.75807523727417
high,600,random_search,1,0,0.881875726343781,32,593.7721679210663
high,600,random_search,2,1,0.8700452309853445,31,573.3983268737793
high,600,random_search,3,2,0.8781177123453059,34,596.7241830825806
high,600,random_search,4,3,0.8777594474606882,35,647.7847409248352
high,600,random_search,5,4,0.8808061195825821,34,572.8944902420044
high,600,random_search,6,5,0.884622319942617,34,589.6880388259888
high,600,random_search,7,6,0.8777727083943297,28,603.9213018417358
high,600,random_search,8,7,0.8766931825022928,43,577.2929019927979
high,600,random_search,9,8,0.8787527400474756,34,571.961061000824
high,600,random_search,10,9,0.8811938954928967,39,590.7926759719849
high,600,sha,1,0,0.881875726343781,40,130.1927239894867
high,600,sha,2,1,0.8700452309853445,40,84.27654981613159
high,600,sha,3,2,0.8727223106445635,40,95.83030200004578
high,600,sha,4,3,0.8663784038029205,40,90.88594508171082
high,600,sha,5,4,0.8647453916700513,40,93.78738617897034
high,600,sha,6,5,0.8653261289690156,40,114.15602993965149
high,600,sha,7,6,0.8732129632479406,40,89.39108610153198
high,600,sha,8,7,0.8734209764194736,40,122.61214780807495
high,600,sha,9,8,0.8777487390737848,40,128.96332001686096
high,600,sha,10,9,0.8811938954928967,40,95.61641597747803
high,600,hyperband,1,0,0.881875726343781,108,571.187087059021
