dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
covertype,very_low,60,random_search,0,0,0.26226611867845895,1,59.30570077896118
covertype,very_low,60,random_search,1,1,0.6630539774214457,1,110.6314160823822
covertype,very_low,60,random_search,2,2,0.1950954675808716,1,78.34682869911194
covertype,very_low,60,random_search,3,3,0.4141355898479677,2,69.92712807655334
covertype,very_low,60,random_search,4,4,0.12681530526950335,2,160.91313099861145
covertype,very_low,60,random_search,5,5,0.09364989989300618,1,116.14711809158325
covertype,very_low,60,random_search,6,6,0.5881157199090895,1,99.0761239528656
covertype,very_low,60,random_search,7,7,0.3749221363835627,2,82.05945611000061
covertype,very_low,60,random_search,8,8,0.4876952457739235,2,86.91092586517334
covertype,very_low,60,random_search,9,9,0.4876952457739235,2,146.24924325942993
covertype,very_low,60,sha,0,0,0.26226611867845895,1,63.473304271698
covertype,very_low,60,sha,1,1,0.6630539774214457,1,137.74599194526672
covertype,very_low,60,sha,2,2,0.1950954675808716,1,91.77084016799927
covertype,very_low,60,sha,3,3,0.4141355898479677,2,71.10801410675049
covertype,very_low,60,sha,4,4,0.12681530526950335,2,168.4516727924347
covertype,very_low,60,sha,5,5,0.09364989989300618,1,123.82469820976257
covertype,very_low,60,sha,6,6,0.5881157199090895,1,113.54388189315796
covertype,very_low,60,sha,7,7,0.3749221363835627,2,80.67656111717224
covertype,very_low,60,sha,8,8,0.4876952457739235,2,88.08354091644287
covertype,very_low,60,sha,9,9,0.4876952457739235,2,152.18325018882751
covertype,very_low,60,hyperband,0,0,0.26226611867845895,1,64.38138628005981
covertype,very_low,60,hyperband,1,1,0.6630539774214457,1,143.58129692077637
covertype,very_low,60,hyperband,2,2,0.1950954675808716,1,91.0016679763794
covertype,very_low,60,hyperband,3,3,0.4141355898479677,2,71.84968113899231
covertype,very_low,60,hyperband,4,4,0.12681530526950335,2,183.991681098938
covertype,very_low,60,hyperband,5,5,0.09364989989300618,1,141.2505431175232
covertype,very_low,60,hyperband,6,6,0.5881157199090895,1,113.06542801856995
covertype,very_low,60,hyperband,7,7,0.3749221363835627,2,80.79509902000427
covertype,very_low,60,hyperband,8,8,0.4876952457739235,2,94.47304391860962
covertype,very_low,60,hyperband,9,9,0.4876952457739235,2,166.74962282180786
covertype,low,120,random_search,0,0,0.6630539774214457,2,184.62174010276794
covertype,low,120,random_search,1,1,0.6630539774214457,1,120.68593263626099
covertype,low,120,random_search,2,2,0.4141355898479677,2,108.233478307724
covertype,low,120,random_search,3,3,0.4141355898479677,3,197.6730809211731
covertype,low,120,random_search,4,4,0.12681530526950335,2,169.9931149482727
covertype,low,120,random_search,5,5,0.09364989989300618,1,126.56954598426819
covertype,low,120,random_search,6,6,0.5881157199090895,2,134.06346893310547
covertype,low,120,random_search,7,7,0.4876952457739235,3,121.568039894104
covertype,low,120,random_search,8,8,0.4876952457739235,3,203.76368808746338
covertype,low,120,random_search,9,9,0.4876952457739235,2,155.2397539615631
covertype,low,120,sha,0,0,0.6630539774214457,2,176.70591497421265
covertype,low,120,sha,1,1,0.6630539774214457,2,192.74599385261536
covertype,low,120,sha,2,2,0.4141355898479677,3,150.4143421649933
covertype,low,120,sha,3,3,0.4141355898479677,3,198.10096979141235
covertype,low,120,sha,4,4,0.12681530526950335,2,168.25747108459473
covertype,low,120,sha,5,5,0.09364989989300618,1,1464.9930412769318
covertype,low,120,sha,6,6,0.5881157199090895,2,136.26195096969604
covertype,low,120,sha,7,7,0.4876952457739235,3,126.09978485107422
covertype,low,120,sha,8,8,0.4876952457739235,3,224.34216594696045
covertype,low,120,sha,9,9,0.4876952457739235,2,159.44491600990295
covertype,low,120,hyperband,0,0,0.6630539774214457,2,176.19757175445557
covertype,low,120,hyperband,1,1,0.6630539774214457,1,120.64999389648438
covertype,low,120,hyperband,2,2,0.4141355898479677,3,152.21135783195496
covertype,low,120,hyperband,3,3,0.4141355898479677,3,194.93541979789734
covertype,low,120,hyperband,4,4,0.12681530526950335,2,167.20055389404297
covertype,low,120,hyperband,5,5,0.09364989989300618,1,124.96592283248901
covertype,low,120,hyperband,6,6,0.5881157199090895,2,134.02828431129456
covertype,low,120,hyperband,7,7,0.4876952457739235,4,159.85533905029297
covertype,low,120,hyperband,8,8,0.4876952457739235,3,216.10948991775513
covertype,low,120,hyperband,9,9,0.4876952457739235,2,168.25167107582092
covertype,medium,300,random_search,0,0,0.6630539774214457,3,291.4645309448242
covertype,medium,300,random_search,1,1,0.6630539774214457,4,294.1394181251526
covertype,medium,300,random_search,2,2,0.4141355898479677,4,486.01351714134216
covertype,medium,300,random_search,3,3,0.4141355898479677,3,383.2492091655731
covertype,medium,300,random_search,4,4,0.12681530526950335,2,294.68830013275146
covertype,medium,300,random_search,5,5,0.5881157199090895,2,331.1590871810913
covertype,medium,300,random_search,6,6,0.5881157199090895,4,296.07671880722046
covertype,medium,300,random_search,7,7,0.4876952457739235,4,314.7950339317322
covertype,medium,300,random_search,8,8,0.4876952457739235,3,292.5205190181732
covertype,medium,300,random_search,9,9,0.4876952457739235,3,355.80857706069946
covertype,medium,300,sha,0,0,0.6630539774214457,5,316.6059069633484
covertype,medium,300,sha,1,1,0.6630539774214457,5,437.71054911613464
covertype,medium,300,sha,2,2,0.5881157199090895,5,408.09489822387695
covertype,medium,300,sha,3,3,0.5881157199090895,4,328.46411395072937
covertype,medium,300,sha,4,4,0.5881157199090895,3,305.4352707862854
covertype,medium,300,sha,5,5,0.5881157199090895,3,300.6220281124115
covertype,medium,300,sha,6,6,0.5881157199090895,5,377.1780071258545
covertype,medium,300,sha,7,7,0.4876952457739235,5,363.14916920661926
covertype,medium,300,sha,8,8,0.4876952457739235,4,329.2415862083435
covertype,medium,300,sha,9,9,0.4876952457739235,4,469.47989678382874
covertype,medium,300,hyperband,0,0,0.6630539774214457,4,375.09701204299927
covertype,medium,300,hyperband,1,1,0.6630539774214457,4,348.0450859069824
covertype,medium,300,hyperband,2,2,0.5881157199090895,6,321.741357088089
covertype,medium,300,hyperband,3,3,0.4141355898479677,6,313.77818608283997
covertype,medium,300,hyperband,4,4,0.5881157199090895,4,412.54572892189026
covertype,medium,300,hyperband,5,5,0.5881157199090895,4,393.9916751384735
covertype,medium,300,hyperband,6,6,0.5881157199090895,4,304.13970017433167
covertype,medium,300,hyperband,7,7,0.4876952457739235,6,502.39050793647766
covertype,medium,300,hyperband,8,8,0.4876952457739235,5,487.95538568496704
covertype,medium,300,hyperband,9,9,0.4876952457739235,3,330.17650508880615
covertype,high,600,random_search,0,0,0.6630539774214457,7,667.2307708263397
covertype,high,600,random_search,1,1,0.6630539774214457,6,611.8346350193024
covertype,high,600,random_search,2,2,0.5881157199090895,7,571.8014919757843
covertype,high,600,random_search,3,3,0.5881157199090895,8,569.1564948558807
covertype,high,600,random_search,4,4,0.5881157199090895,8,620.4664001464844
covertype,high,600,random_search,5,5,0.5881157199090895,7,592.5255918502808
covertype,high,600,random_search,6,6,0.5881157199090895,7,677.8530449867249
covertype,high,600,random_search,7,7,0.4876952457739235,6,565.4931330680847
covertype,high,600,random_search,8,8,0.4876952457739235,5,547.9631628990173
covertype,high,600,random_search,9,9,0.5312696919940098,6,544.959046125412
covertype,high,600,sha,0,0,0.6630539774214457,7,601.8432252407074
covertype,high,600,sha,1,1,0.6630539774214457,8,616.7982199192047
covertype,high,600,sha,2,2,0.5881157199090895,9,656.3681328296661
covertype,high,600,sha,3,3,0.5881157199090895,9,701.4037981033325
covertype,high,600,sha,4,4,0.5881157199090895,8,613.9370491504669
covertype,high,600,sha,5,5,0.5881157199090895,8,753.1397399902344
covertype,high,600,sha,6,6,0.5881157199090895,7,664.1316139698029
covertype,high,600,sha,7,7,0.5312696919940098,8,629.3753752708435
covertype,high,600,sha,8,8,0.6284482494178292,8,646.8318991661072
