run,seed,method,best_score,configs_evaluated,time
1,0,hyperband,0.8742851144396884,206,437.8431191444397
2,1,hyperband,0.8808023046510879,206,609.9631507396698
3,2,hyperband,0.8805629521326472,206,523.585587978363
4,3,hyperband,0.8727721962254463,206,523.524710893631
5,4,hyperband,0.8794667690053926,206,486.7619299888611
6,5,hyperband,0.876720469696902,206,518.7784872055054
7,6,hyperband,0.8778274754383485,206,485.28014183044434
8,7,hyperband,0.8780462683882391,206,454.28655099868774
9,8,hyperband,0.8787527400474756,206,574.9816589355469
10,9,hyperband,0.8736362652164198,206,540.2274129390717
