dataset,method,run_seed,best_cv_f1,test_f1,clf__alpha,clf__hidden_layer_sizes,clf__learning_rate_init,clf__max_iter
adult,random_search,0,0.7921370784837553,0.8008278084050974,0.022096070868729552,"(50,)",0.00018255254802399022,
adult,halving_random_search,0,0.7879494257426632,0.7763201482879103,0.0003447679044520655,"(50,)",0.07780155576901421,900.0
adult,random_search,1,0.7922385149898101,0.801690547325986,3.254601286076721e-05,"(50,)",0.00018924123965722266,
adult,halving_random_search,1,0.7842533843839549,0.7974039389942065,3.254601286076721e-05,"(50,)",0.00018924123965722266,900.0
adult,random_search,2,0.7917917589703952,0.7885369303505183,0.09398643525082985,"(50, 50)",0.005028429700389859,
adult,halving_random_search,2,0.7768628734114592,0.7935413030634618,0.0020381318471884005,"(50,)",0.0004029300695576915,900.0
credit-g,random_search,0,0.7156625165224854,0.6446273262882259,0.0015119336467641006,"(100,)",0.0074249082318150125,
credit-g,halving_random_search,0,0.7156625165224854,0.6446273262882259,0.0015119336467641006,"(100,)",0.0074249082318150125,900.0
credit-g,random_search,1,0.67023691791302,0.6871741397288842,0.00015693523022319346,"(100,)",0.006947282408378272,
credit-g,halving_random_search,1,0.6631084799846436,0.6871741397288842,0.00017934807211789802,"(100,)",0.04257625486011382,900.0
credit-g,random_search,2,0.6896856034724248,0.6836158192090396,0.0020381318471884005,"(50,)",0.0004029300695576915,
credit-g,halving_random_search,2,0.6768273557631325,0.6277756385573097,5.3322211249666904e-05,"(100, 100)",0.006169300530668234,900.0
