dataset,seed,method,val_f1
covertype,0,random_search,0.8872562452762293
covertype,0,successive_halving,0.850828368153056
covertype,1,random_search,0.8854873749830918
covertype,1,successive_halving,0.8854873749830918
covertype,2,random_search,0.8730754769128943
covertype,2,successive_halving,0.8286629757824369
covertype,3,random_search,0.8817554974990387
covertype,3,successive_halving,0.8783800737912899
covertype,4,random_search,0.8724774425348101
covertype,4,successive_halving,0.8697994791979168
covertype,5,random_search,0.8717344871066346
covertype,5,successive_halving,0.8671982747812133
covertype,6,random_search,0.8773170663368437
covertype,6,successive_halving,0.8669029722667825
covertype,7,random_search,0.879299940856971
covertype,7,successive_halving,0.879299940856971
covertype,8,random_search,0.8812377198726784
covertype,8,successive_halving,0.8690668988026864
covertype,9,random_search,0.8705502705919506
covertype,9,successive_halving,0.8682017720987274
