run,seed,method,best_score,configs_evaluated,time
1,0,random_search,0.881875726343781,20,337.9311058521271
2,1,random_search,0.8700452309853445,20,401.1504759788513
3,2,random_search,0.8781177123453059,20,351.4182720184326
4,3,random_search,0.8746480564244766,20,314.43571496009827
5,4,random_search,0.8747451287345535,20,343.835355758667
6,5,random_search,0.884622319942617,20,362.59785175323486
7,6,random_search,0.8777727083943297,20,389.51550006866455
8,7,random_search,0.8734209764194736,20,282.7553551197052
9,8,random_search,0.8752212400207829,20,298.49350094795227
10,9,random_search,0.8811938954928967,20,328.5404601097107
