feature1,feature2,correlation
pymfe_eigenvalues.mean,pymfe_var.mean,1.0000000000000002
pymfe_attr_to_inst,pymfe_nr_num,1.0
n_features,pymfe_attr_to_inst,1.0
n_features,pymfe_nr_attr,1.0
n_features,pymfe_nr_num,1.0
pymfe_nr_attr,pymfe_nr_num,1.0
n_classes,pymfe_nr_class,1.0
pymfe_attr_to_inst,pymfe_nr_attr,1.0
pymfe_eigenvalues.sd,pymfe_var.sd,0.9999999999690726
pymfe_g_mean.mean,pymfe_h_mean.sd,0.9999999999545112
pymfe_g_mean.sd,pymfe_h_mean.sd,0.9999999999040644
pymfe_g_mean.mean,pymfe_h_mean.mean,0.9999999998217383
pymfe_g_mean.mean,pymfe_g_mean.sd,0.999999999726455
pymfe_h_mean.mean,pymfe_h_mean.sd,0.9999999995961505
pymfe_g_mean.sd,pymfe_h_mean.mean,0.9999999991065475
pymfe_eigenvalues.mean,pymfe_var.sd,0.9999999988986462
pymfe_var.mean,pymfe_var.sd,0.9999999988986462
pymfe_eigenvalues.mean,pymfe_eigenvalues.sd,0.9999999986004433
pymfe_eigenvalues.sd,pymfe_var.mean,0.999999998600443
pymfe_median.sd,pymfe_t_mean.sd,0.9999998887465835
pymfe_g_mean.sd,pymfe_var.mean,0.9999998689196081
pymfe_eigenvalues.mean,pymfe_g_mean.sd,0.9999998689196081
pymfe_h_mean.sd,pymfe_var.mean,0.9999998668727609
pymfe_eigenvalues.mean,pymfe_h_mean.sd,0.9999998668727607
pymfe_g_mean.mean,pymfe_var.mean,0.9999998653517698
pymfe_eigenvalues.mean,pymfe_g_mean.mean,0.9999998653517695
pymfe_h_mean.mean,pymfe_var.mean,0.9999998620724996
pymfe_eigenvalues.mean,pymfe_h_mean.mean,0.9999998620724996
pymfe_median.mean,pymfe_t_mean.mean,0.9999998583859867
pymfe_g_mean.sd,pymfe_var.sd,0.9999998499899921
pymfe_eigenvalues.sd,pymfe_g_mean.sd,0.9999998493118047
pymfe_h_mean.sd,pymfe_var.sd,0.9999998478287618
pymfe_eigenvalues.sd,pymfe_h_mean.sd,0.9999998471363081
pymfe_g_mean.mean,pymfe_var.sd,0.9999998462290081
pymfe_eigenvalues.sd,pymfe_g_mean.mean,0.9999998455267314
pymfe_h_mean.mean,pymfe_var.sd,0.9999998427938187
pymfe_eigenvalues.sd,pymfe_h_mean.mean,0.999999842072095
pymfe_mad.sd,pymfe_mean.sd,0.9999997278598457
pymfe_iq_range.sd,pymfe_mean.sd,0.9999984342772845
pymfe_iq_range.sd,pymfe_mad.sd,0.9999984222613398
pymfe_iq_range.mean,pymfe_mad.mean,0.9999983067594569
pymfe_mad.mean,pymfe_mean.mean,0.9999967493384693
pymfe_mean.sd,pymfe_t_mean.sd,0.9999965540382194
pymfe_mean.mean,pymfe_t_mean.mean,0.999996209917933
pymfe_mad.sd,pymfe_t_mean.sd,0.9999962046421994
pymfe_mean.sd,pymfe_median.sd,0.9999954682091279
pymfe_mad.sd,pymfe_median.sd,0.9999952919656699
pymfe_iq_range.mean,pymfe_mean.mean,0.9999949295633606
pymfe_mean.mean,pymfe_median.mean,0.9999949179077147
pymfe_cov.mean,pymfe_median.mean,0.9999947567273565
pymfe_mad.sd,pymfe_mean.mean,0.9999941644136991
pymfe_median.mean,pymfe_median.sd,0.9999938062762072
pymfe_mean.mean,pymfe_mean.sd,0.9999938033440811
pymfe_median.sd,pymfe_t_mean.mean,0.999993650789993
pymfe_cov.mean,pymfe_t_mean.mean,0.9999936068704536
pymfe_t_mean.mean,pymfe_t_mean.sd,0.9999935384249635
pymfe_iq_range.sd,pymfe_mean.mean,0.9999934660773484
pymfe_median.mean,pymfe_t_mean.sd,0.9999934464840946
pymfe_mad.mean,pymfe_t_mean.mean,0.9999930228370829
pymfe_mad.mean,pymfe_median.mean,0.9999922993355742
pymfe_cov.mean,pymfe_mad.mean,0.9999911624392555
pymfe_cov.mean,pymfe_median.sd,0.9999910462645609
pymfe_mad.sd,pymfe_t_mean.mean,0.9999909300053417
pymfe_mean.sd,pymfe_t_mean.mean,0.999990575542567
pymfe_iq_range.sd,pymfe_t_mean.sd,0.9999905176991462
pymfe_mad.sd,pymfe_median.mean,0.9999899594390389
pymfe_cov.mean,pymfe_t_mean.sd,0.999989923118361
pymfe_mean.mean,pymfe_t_mean.sd,0.9999895478135173
pymfe_mean.sd,pymfe_median.mean,0.9999894112707416
pymfe_mad.mean,pymfe_mad.sd,0.9999891323544536
pymfe_cov.mean,pymfe_mean.mean,0.9999888518496483
pymfe_iq_range.sd,pymfe_median.sd,0.9999888196156141
