test_dataset,budget_level,true_method,predicted_method,correct,fold_accuracy
adult,very_low,random_search,random_search,True,0.5
adult,low,random_search,random_search,True,0.5
adult,medium,random_search,hyperband,False,0.5
adult,high,random_search,hyperband,False,0.5
bank,very_low,sha,random_search,False,0.75
bank,low,hyperband,hyperband,True,0.75
bank,medium,hyperband,hyperband,True,0.75
bank,high,hyperband,hyperband,True,0.75
covertype,very_low,hyperband,hyperband,True,0.75
covertype,low,hyperband,hyperband,True,0.75
covertype,medium,sha,hyperband,False,0.75
covertype,high,hyperband,hyperband,True,0.75
creditcard,very_low,hyperband,hyperband,True,1.0
creditcard,low,hyperband,hyperband,True,1.0
creditcard,medium,hyperband,hyperband,True,1.0
creditcard,high,hyperband,hyperband,True,1.0
fashion_mnist,very_low,random_search,random_search,True,0.5
fashion_mnist,low,random_search,random_search,True,0.5
fashion_mnist,medium,sha,random_search,False,0.5
fashion_mnist,high,hyperband,random_search,False,0.5
letter,very_low,random_search,random_search,True,0.25
letter,low,hyperband,random_search,False,0.25
letter,medium,hyperband,random_search,False,0.25
letter,high,hyperband,random_search,False,0.25
mnist,very_low,random_search,hyperband,False,0.25
mnist,low,random_search,hyperband,False,0.25
mnist,medium,sha,hyperband,False,0.25
mnist,high,hyperband,hyperband,True,0.25
pendigits,very_low,random_search,random_search,True,1.0
pendigits,low,random_search,random_search,True,1.0
pendigits,medium,random_search,random_search,True,1.0
pendigits,high,random_search,random_search,True,1.0
satimage,very_low,random_search,random_search,True,1.0
satimage,low,random_search,random_search,True,1.0
satimage,medium,random_search,random_search,True,1.0
satimage,high,random_search,random_search,True,1.0
shuttle,very_low,random_search,random_search,True,1.0
shuttle,low,random_search,random_search,True,1.0
shuttle,medium,random_search,random_search,True,1.0
shuttle,high,random_search,random_search,True,1.0
